key,en,?context
UI,,
GAME_LAWS_BUTTON,?,
GAME_LAWS_BUTTON_HINT,You are unable to see the truth,
GAME_LAWS_TEXT,"Game Laws:
1. Card effects are active when they are not covered. Card Stamps and Type are always active
2. There is an Upper Game Zone and a Lower Game Zone
3. There is a Draw Deck, its contents are shuffled at the Start of a Game
4, There is a Discard Deck, cards enter here after a Submission (mention order)
5. There is a Rules Deck, cards here are uncovered and therefore always active",
,,
NEXT_BUTTON,>,
ATTACK_BUTTON,O,
DEBUG_PROP_STEP_MODE,Prop Step,
DEBUG_PROP_STEP_TICK,Tick +1,
GAME_WIN_FAME,Fame +%d,
GAME_LOSE,You lose!,
GAME_CONTINUE,Continue,
,,
,,
CARDS,,
INPUT_ZONE_UPPER_ADDER_CARD,Input Zone Upper Adder,
INPUT_ZONE_UPPER_ADDER_CARD_DESCRIPTION,"Add Input Zone Card to the Upper Zone
Inactive: Remove Input Zone Card from Upper Zone",
INPUT_ZONE_LOWER_ADDER_CARD,Input Zone Lower Adder,
INPUT_ZONE_LOWER_ADDER_CARD_DESCRIPTION,"Add Input Zone Card to the Lower Zone
Inactive: Remove Input Zone Card from Lower Zone",
INPUT_ZONE_CARD,Input Zone,
INPUT_ZONE_CARD_DESCRIPTION,"The beginning of a Stack.
Next: If in Upper Zone, drop card to open space in Lower Zone. Then Draw a Card.",
INPUT_ZONE_CARD_DESCRIPTION,"The beginning of a Stack. Cannot be moved. Allows Cards to be placed on top of itself.
Next: If in Upper Zone, drop card to open space in Lower Zone. Then Draw a Card.
Removed: Stacked cards are Discarded",revealed
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
HAND_HIGH_CARD,High Card,
HAND_PAIR,Pair,
HAND_TWO_PAIR,Two Pair,
HAND_THREE_OF_A_KIND,3 of a Kind,
HAND_FOUR_OF_A_KIND,4 of a Kind,
HAND_FIVE_OF_A_KIND,5 of a Kind,
HAND_STRAIGHT,Straight,
HAND_FLUSH,Flush,
HAND_FULL_HOUSE,Full House,
HAND_STRAIGHT_FLUSH,Straight Flush,
HAND_FLUSH_HOUSE,Flush House,
HAND_FLUSH_FIVE,Flush Five,
FMT_X_OF_A_KIND,%d of a Kind,
FMT_MULTI_SIMPLE,%dx %s,
FMT_MULTI_COMPLEX,%dx %s (%d),
PREFIX_FULL_FLUSH,Flush %s,
PREFIX_MULTI_FLUSH,Multi-Flush %s,
FMT_FULL_FLUSH,Flush %s,
FMT_MULTI_FLUSH,%dx Flush %s,
,,
SUITS,,
SUIT_HOOP,Hoop,
SUIT_HOOP_DESCRIPTION,"On score: hoops equal to rank cross this row. Talents they pass jump through and score.",
SUIT_KNIFE,Knife,
SUIT_KNIFE_DESCRIPTION,"On score: knives equal to rank cross this row from the far side. Props they pass are scored; talents spin.",
SUIT_BALL,Ball,
SUIT_BALL_DESCRIPTION,"On score: balls equal to rank fly to talents down the column (mancala), leaving Juggling.",
SUIT_FIRE,Fire,
SUIT_FIRE_DESCRIPTION,"On score: fire equal to rank flies down the column (skipping talents and Fire), leaving Burning.",
SUIT_FIREWORK,Firework,
SUIT_FIREWORK_DESCRIPTION,"On score: fireworks equal to rank rise up the column and bank column score at the top.",
,,
STATUSES,,
STATUS_JUGGLING,Juggling,
STATUS_JUGGLING_DESCRIPTION,"When scored: +%d column score (balls juggled).",
STATUS_BURNING,Burning,
STATUS_BURNING_DESCRIPTION,"This card's suit effect count is boosted by %d.",
