id,name,status,approved_effect,slot,class,family,class_group,variant,was_recommended,answer_state,owner_note,one_line_summary,provenance,option_a,option_b,option_c
Q0001,Cheering Team card,unanswered,,skill,A1,A - Scoring — the number itself,A1 - Flat point add,,,,,Pays its own suit,random potential effects.csv:5,Each scored card sharing this card's suit gains extra points,"Each scored card sharing this card's suit gains extra points, scaling with how many of them there are","Each scored card sharing this card's suit gains extra points, and this card gains the same again"
Q0002,Crowd glow,unanswered,,rule,A1,A - Scoring — the number itself,A1 - Flat point add,,,,,The crowd trickles in regardless,"DESIGN_REFERENCES.md §F3 Music, Concerts & Festivals","On a low-scoring turn, a small amount of fame arrives anyway","On a turn that scores nothing at all, a small amount of fame arrives anyway","On a low-scoring turn, fame arrives inversely to what you scored, so the worst turns pay most"
Q0003,Extra Point,unanswered,,skill,A1,A - Scoring — the number itself,A1 - Flat point add,,,,,Gain extra flat points on score (+10),CARD_CATALOG,+10 points when this card scores,+2 points for each card in the line this card scores in,"+10 points when this card scores, doubling each further time it scores in the same show"
Q0004,The Pose (Sandow),unanswered,,skill,A1,A - Scoring — the number itself,A1 - Flat point add,,,,,Scores by standing still,DESIGN_REFERENCES.md §B3 Strength & Endurance,"Scores by being spotlit and doing nothing, rather than by melding","Scores by being spotlit and doing nothing, paying more the longer it holds the pose","Scores by being spotlit and doing nothing, and cannot score by melding at all"
Q0005,The Sparkler,unanswered,,skill,A1,A - Scoring — the number itself,A1 - Flat point add,,,,,Straight into the column score,CARD_CATALOG,"When this card scores, +10 flat points go to its column's score","When this card scores, flat points equal to its rank go to its column's score","When this card scores, +10 flat points go to whichever of its lines scored lowest"
Q0006,Bootstraps,unanswered,,skill,A2,A - Scoring — the number itself,A2 - Additive mult,,,,,Paid by what is in your pocket,balatro,Gains a multiplier for every fixed amount of gold you hold,"Gains a multiplier for every fixed amount of gold, and spending gold mid-show lowers it immediately","Gains a multiplier for gold held, capped, and converts overflow gold into flat points"
Q0007,Combo card,unanswered,,skill,A2,A - Scoring — the number itself,A2 - Additive mult,,,,,Scored cards keep the hand's value,random potential effects.csv:6,"During scoring, each card gains temporary points equal to the hand it scored in","During scoring, each card gains permanent points equal to the hand it scored in, once","During scoring, each card gains temporary points equal to the hand it scored in, doubled if it scored in two lines"
Q0008,Diamond type,unanswered,,type,A2,A - Scoring — the number itself,A2 - Additive mult,,,,,"Twice the score, twice the price",curated effects pre grid.csv:92,"Doubles this card's score, and costs 3 more when traded at shops","Doubles this card's score, and it cannot be sold at all","Doubles this card's score, and every other card of its suit costs more at shops"
Q0009,More Poker card,unanswered,,skill,A2,A - Scoring — the number itself,A2 - Additive mult,,,,,Poker hands pay double,random potential effects.csv:3,Poker hands score double,"Poker hands score double, but only the highest hand of each act","Poker hands score double, and non-poker melds score nothing"
Q0010,Noble Family card,unanswered,,skill,A2,A - Scoring — the number itself,A2 - Additive mult,,,,,Face cards feed each other,random potential effects.csv:7,Each scored face card raises the points of the next scored face card by 1,"Each scored face card raises the next one by 1, and the chain resets at the end of each act","Each scored face card raises the next by 1, with no reset, so the chain runs the whole show"
Q0011,Per-act score multiplier,unanswered,,rule,A2,A - Scoring — the number itself,A2 - Additive mult,,,,,Later acts are worth more,DESIGN_DOC.md §2 Core Game Loop refinements,"Each act carries a rising score multiplier, so the final act is worth the most",Only the final act carries an extra multiplier,"Each act's multiplier rises, and skipping an act carries its multiplier into the next"
Q0012,Hoop tower,unanswered,,skill,A3,A - Scoring — the number itself,A3 - Multiplicative mult,,,,,"Same suit, stacked hoops",DESIGN_REFERENCES.md §A5 China,Consecutive same-suit cards in a line multiply their score together,"Consecutive same-suit cards in a line multiply their score, and the multiplier grows with run length","Consecutive same-suit cards in a line multiply their score, counting across grid boundaries at the same row"
Q0013,Joker Stencil,unanswered,,skill,A3,A - Scoring — the number itself,A3 - Multiplicative mult,,,,,Paid by the room you left,balatro,Gains a multiplier for every empty skill slot you are carrying,Gains a multiplier for every empty cell on the grid at scoring,"Gains a multiplier for every empty skill slot, doubled if every slot but its own is empty"
Q0014,Pagliacci,unanswered,,skill,A3,A - Scoring — the number itself,A3 - Multiplicative mult,,,,,Gains bonus multiplier while this card carries any debuff or negative status,CARD_CATALOG,Gains a multiplier while carrying any debuff or negative status,"Gains a multiplier per debuff or negative status it carries, stacking","Gains a multiplier per debuffed card anywhere in its grid, whether or not it is one of them"
Q0015,Searing Knife,unanswered,,skill,A3,A - Scoring — the number itself,A3 - Multiplicative mult,,,,,"When scored, its column pays 3x this act but is locked (no placement or grabs) for the next 2 turns",CARD_CATALOG,"When this card scores, its column pays triple this act and is locked against placement and grabs for two turns","When this card scores, its column pays triple this act and is locked for the rest of the show","When this card scores, its column pays triple, and the column to each side is locked for one turn"
Q0016,Swashbuckler,unanswered,,skill,A3,A - Scoring — the number itself,A3 - Multiplicative mult,,,,,Paid by what your collection is worth,balatro,Adds the total sell value of your other cards to the multiplier,"Adds the total sell value of your other cards to the multiplier, and selling any of them lowers it at once","Adds the sell value of your single most valuable other card, doubled"
Q0017,The Advance Campaign,unanswered,,skill,A3,A - Scoring — the number itself,A3 - Multiplicative mult,,,,,Cue before a show: spend N Gold tokens to multiply that show's fame payout by 1 + N/10,CARD_CATALOG,Cue before a show: spend N gold to multiply that show's payout by 1 + N/10,"Cue before a show: spend all your gold to multiply that show's payout by 1 + gold/10, capped at triple","Cue before a show: spend N gold to multiply the payout by 1 + N/10, but the next show's goal rises by the same fraction"
Q0018,The Kecak Chorus,unanswered,,skill,A3,A - Scoring — the number itself,A3 - Multiplicative mult,,,,,Paid by the low cards on the board,CARD_CATALOG,"When any meld scores, gains a multiplier per rank-1 card on the board","When any meld scores, gains a multiplier per card on the board below rank 4","When any meld scores, gains a multiplier per card on the board whose rank is lower than this card's"
Q0019,The Wall of Death,unanswered,,skill,A3,A - Scoring — the number itself,A3 - Multiplicative mult,,,,,"Both neighbours pay, and both pay for it",CARD_CATALOG,"Both adjacent columns gain a multiplier, and every card in them takes an Exhausted debuff at show end","Both adjacent columns gain a multiplier, and one random card in each is Exhausted at show end","Both adjacent columns gain a multiplier scaling with how many cards are in them, and all of those cards are Exhausted at show end"
Q0020,Abstract Card,unanswered,,skill,A4,A - Scoring — the number itself,A4 - Higher operators,,,,,Raises the score to a power,cryptid,"Raises the act's multiplier to a power rather than adding or multiplying, with a chance of being destroyed each show","Raises the act's multiplier to a power, with no destruction risk but a very small exponent","Raises the multiplier to a power that grows the longer this card survives, with a rising chance of destruction"
Q0021,Critical Deck,unanswered,,rule,A4,A - Scoring — the number itself,A4 - Higher operators,,,,,A coin flip on the exponent,cryptid,"Deck: after each act, a small chance the multiplier is squared, and a smaller chance it is square-rooted","Deck: after each act, a small chance the multiplier is squared, with no downside","Deck: after each act, the multiplier is raised to a random power between a half and two"
Q0022,Googol Play Card,unanswered,,skill,A4,A - Scoring — the number itself,A4 - Higher operators,,,,,A tiny chance at an absurd number,cryptid,"A small chance per act of an enormous multiplier, and nothing otherwise","A small chance per act of an enormous multiplier, with a modest one the rest of the time","A small chance of an enormous multiplier, and the chance improves each act it fails"
Q0023,Double Trigger,unanswered,,stamp,A5,A - Scoring — the number itself,A5 - Retrigger,,,,,"All of this card's effects trigger twice, once per scoring pass",CARD_CATALOG,All of this card's effects trigger twice,"All of this card's effects trigger twice, but only on the first line it completes each show","This card's effects trigger once more for each line it belongs to, so a card scoring in a row and a column fires three times"
Q0024,Echoing Trigger,unanswered,,skill,A5,A - Scoring — the number itself,A5 - Retrigger,,,,,"All triggers on the grid repeat once, per card, per scoring pass",CARD_CATALOG,Every card's triggers on the grid repeat once per scoring pass,Every card's triggers in this card's own row and column repeat once,"Every card's triggers on the grid repeat once, and this card is destroyed at the end of the show"
Q0025,Exposed,unanswered,,skill,A5,A - Scoring — the number itself,A5 - Retrigger,,,,,"Retriggers the plain ones, kills the faces",cryptid,"Retriggers every scoring non-face card twice more, and debuffs every face card","Retriggers every scoring non-face card twice more, and face cards simply score normally","Retriggers whichever card type is rarer on the board, and debuffs the commoner one"
Q0026,Hanging Chad,unanswered,,skill,A5,A - Scoring — the number itself,A5 - Retrigger,,,,,Re-fires whichever card went first,balatro,Retriggers the first card of a scoring line two extra times,Retriggers the first and last card of a scoring line one extra time each,"Retriggers the first card of every scoring line once, across every line that scores"
Q0027,Seltzer,unanswered,,skill,A5,A - Scoring — the number itself,A5 - Retrigger,,,,,"Retriggers everything, then burns out",balatro,"Retriggers every scoring card for the next ten acts, then is destroyed","Retriggers every scoring card for the next three acts, then is destroyed","Retriggers every scoring card until it has retriggered a fixed total number of times, then is destroyed"
Q0028,The Aerialist,unanswered,,skill,A5,A - Scoring — the number itself,A5 - Retrigger,,,,,"Once per submit, re-scores the topmost meld, but is destroyed permanently if her column ever fails to score",CARD_CATALOG,"Once per submit, re-scores the highest meld; destroyed for good if her column ever fails to score","Once per submit, re-scores the highest meld; destroyed for good the first time her column fails to score twice running","Once per submit, re-scores any meld you choose; each use carries a 1-in-8 chance of destroying her"
Q0029,The Clock Hang,unanswered,,skill,A5,A - Scoring — the number itself,A5 - Retrigger,,,,,"May be placed half-off the grid past the last column; while hanging it is double-spotlit (its skill fires twice), but any board-shift effect discards it",CARD_CATALOG,"May be placed half off the grid past the last column; while hanging its skill fires twice, and any board-shift effect discards it",May be placed half off the grid past any edge; while hanging its skill fires twice and it cannot be part of any meld,"May be placed half off the grid; while hanging it fires twice, and it falls off at the end of the act unless a line scored"
Q0030,The Drone Swarm,unanswered,,skill,A5,A - Scoring — the number itself,A5 - Retrigger,,,,,"Cue, once per show: re-triggers any formation bonus already scored this run, paying it again without needing the cards",CARD_CATALOG,"Cue, once per show: re-trigger any formation bonus already scored this run, paying it again without needing the cards","Cue, once per show: re-trigger any formation bonus already scored this show, paying it again","Cue, once per show: re-trigger the highest-paying formation bonus of the run, at half value"
Q0031,The Encore,unanswered,,stamp,A5,A - Scoring — the number itself,A5 - Retrigger,,,,,"If this card's skill triggered this show, there is a seeded 50% chance it triggers once more at show end",CARD_CATALOG,"If this card's skill triggered this show, a 50% chance it triggers once more at show end","If this card's skill triggered this show, it triggers once more at show end, guaranteed","If this card's skill triggered this show, a 50% chance per trigger that it fires again at show end, capped at three"
Q0032,The Fanchant,unanswered,,skill,A5,A - Scoring — the number itself,A5 - Retrigger,,,,,"After all scoring resolves, each meld that raised the act's combo pays again at 25%",CARD_CATALOG,"After all scoring resolves, every meld that raised the act's combo pays again at 25%","After all scoring resolves, the single highest meld that raised the combo pays again in full","After all scoring resolves, every meld that raised the combo pays again at 10% per distinct class involved"
Q0033,The Groundhog,unanswered,,skill,A5,A - Scoring — the number itself,A5 - Retrigger,,,,,"Cue, once per show: replay the previous act's entire effect sequence against the current board, same effects and order, targets resolved fresh",CARD_CATALOG,"Gains bonus points for every consecutive show it stays in the deck unplayed, paying it all at once when finally scored, then resetting","Gains bonus points for every consecutive show it stays unplayed, paying out when scored; being drawn without being placed does not break the streak","Gains bonus points per show unplayed, and if the streak reaches five it also gains a permanent rarity tier"
Q0034,Broken Sync Catalyst,unanswered,,skill,A6,A - Scoring — the number itself,A6 - Score redirect,,,,,Trades chips for mult,cryptid,Swaps a tenth of the line's flat points into its multiplier,"Swaps a tenth of the flat points into multiplier, or the reverse, whichever scores higher","Swaps a proportion you choose, up to a half, between flat points and multiplier"
Q0035,The Accountant,unanswered,,skill,A6,A - Scoring — the number itself,A6 - Score redirect,,,,,"At payout, before row x column multiplication, shift up to 20% of the larger axis total onto the smaller, costing 2 combo to invoke",CARD_CATALOG,"At payout, before row times column, shift up to 20% of the larger axis total onto the smaller, at a cost of 2 combo","At payout, shift up to 20% of the larger axis total onto the smaller, free of charge","At payout, the row and column totals are averaged and both set to that average, at a cost of 2 combo"
Q0036,AP Joker,unanswered,,skill,A7,A - Scoring — the number itself,A7 - Scoring gate,,,,,Saves itself for the boss,cryptid,Scores a large multiplier against bosses only,"Scores a large multiplier against bosses, and nothing at all otherwise",Scores a multiplier that scales with how many bosses you have already beaten this run
Q0037,Card Sharp,unanswered,,skill,A7,A - Scoring — the number itself,A7 - Scoring gate,,,,,Paid for repeating yourself,balatro,Gains a multiplier if the hand it scores in has already been scored this show,Gains a multiplier if the hand it scores in has already been scored this act,Gains a multiplier that grows each time the same hand type is scored again in a show
Q0038,Facile,unanswered,,skill,A7,A - Scoring — the number itself,A7 - Scoring gate,,,,,Rewards a board you have barely used,cryptid,Raises the multiplier to a power if the scoring cards have been scored few times this run,Raises the multiplier to a power if none of the scoring cards has ever scored before,Raises the multiplier to a power scaling inversely with how often the scoring cards have been used
Q0039,Flash,unanswered,,type,A7,A - Scoring — the number itself,A7 - Scoring gate,,,,,The first time this card would score each show it scores triple; every later score that show is zero,CARD_CATALOG,The first time this card scores each show it scores triple; every later score that show is zero,The first time this card scores each show it scores triple; every later score that show is halved,"The first line this card completes each show scores triple for every card in it, and this card cannot score again that show"
Q0040,Green Seal,unanswered,,skill,A7,A - Scoring — the number itself,A7 - Scoring gate,,,,,Pays for the card that did not score,cryptid,Creates a bonus card whenever a placed card fails to score,"Creates a bonus card whenever a placed card fails to score, capped once per act",Creates a bonus card for each card in a completed line that contributed nothing to the hand
