Q0001	E1152
Q0002	E0478
Q0003	E0044
Q0004	E0958
Q0005	E0328
Q0006	E1523
Q0007	E1161
Q0008	E1190
Q0009	E1329
Q0010	E1343
Q0011	E0692
Q0012	E0600
Q0013	E1605
Q0014	E0124
Q0015	E0148
Q0016	E1687
Q0017	E0167
Q0018	E0267
Q0019	E0354
Q0020	E1737
Q0021	G0235
Q0022	E1810
Q0023	E1876
Q0024	E0034
Q0025	E0038
Q0026	E1850
Q0027	E1594
Q0028	E1665
Q0029	E0169
Q0030	E0199
Q0031	E0222
Q0032	E0227
Q0033	E0235
Q0034	E0248
Q0035	E1773
Q0036	E0165
Q0037	G0461
Q0038	G0182
Q0039	E1744
Q0040	E1534
Q0041	E1851
Q0042	E0054
Q0043	E1879
Q0044	E0105
Q0045	E1345
Q0046	E1633
Q0047	E1430
Q0048	E1685
Q0049	E2038
Q0050	G0462
Q0051	G0181
Q0052	G0133
Q0053	E0071
Q0054	E0653
Q0055	E0788
Q0056	G0268
Q0057	E0258
Q0058	E0916
Q0059	G0250
Q0060	G0463
Q0061	E0253
Q0062	E0928
Q0063	E1905
Q0064	G0464
Q0065	G0234
Q0066	E2054
Q0067	E1195
Q0068	E0056
Q0069	E0068
Q0070	E0136
Q0071	E0156
Q0072	E0188
Q0073	E0221
Q0074	E0232
Q0075	E0241
Q0076	E0337
Q0077	E2086
Q0078	E0035
Q0079	E0883
Q0080	E0293
Q0081	G0201
Q0082	G0200
Q0083	G0070
Q0084	G0071
Q0085	G0073
Q0086	G0072
Q0087	E1090
Q0088	G0205
Q0089	E1108
Q0090	E1115
Q0091	E1777
Q0092	E1801
Q0093	E1173
Q0094	E0475
Q0095	E1571
Q0096	E1308
Q0097	E1919
Q0098	E1947
Q0099	E1387
Q0100	E1388
Q0101	E1422
Q0102	E1437
Q0103	E0236
Q0104	G0232
Q0105	G0165
Q0106	E0347
Q0107	E2069
Q0108	E1575
Q0109	E1974
Q0110	E1667
Q0111	E0309
Q0112	G0224
Q0113	G0199
Q0114	G0465
Q0115	E1690
Q0116	E1700
Q0117	E1130
Q0118	E1224
Q0119	G0163
Q0120	E1452
Q0121	E0240
Q0122	E0254
Q0123	E1132
Q0124	E1170
Q0125	G0207
Q0126	E1671
Q0127	G0159
Q0128	E1530
Q0129	E1688
Q0130	G0466
Q0131	E2072
Q0132	G0204
Q0133	E0678
Q0134	E1677
Q0135	E0205
Q0136	E0029
Q0137	E0757
Q0138	E0161
Q0139	G0288
Q0140	E0342
Q0141	E0352
Q0142	E0361
Q0143	E1255
Q0144	G0317
Q0145	G0230
Q0146	G0198
Q0147	G0134
Q0148	E1591
Q0149	E1886
Q0150	E1393
Q0151	G0467
Q0152	G0003
Q0153	G0180
Q0154	G0001
