eid	origin	source	name	slot	rarity	groups	mechanic	status
E0001	catalog	CARD_CATALOG	72 Transformations		Epic	skill;Magician;random;collection;meta	Cue: copy any spotlit card's skill; transformations are counted across the run, and at 72 this card permanently upgrades to Legendary stats.	
E0002	catalog	CARD_CATALOG	Air		Uncommon	type;movement	Whenever its stack settles, this card floats to the top of its stack.	
E0003	catalog	CARD_CATALOG	Ascetic		Uncommon	stamp;protection;hazard	Immune to row- and floor-targeting hazards.	
E0004	catalog	CARD_CATALOG	Audience Patience		Uncommon	rule;economy;combo	Each show, patience starts at N; each grab/place spends 1 patience, a unique effect trigger refunds 1; at 0 patience the Entrance drops automatically.	
E0005	catalog	CARD_CATALOG	Automaton		Rare	type;charges;movement	Every Next this card performs its cue automatically for free, but it can never be cued manually.	
E0006	catalog	CARD_CATALOG	Avalanche		Rare	skill;Special Effects;economy;combo	After scoring, reduces the show's goal by the number of cards currently on the board.	
E0007	catalog	CARD_CATALOG	Bahurupiya		Rare	type;random;deck-manip	At the start of each show this card arrives as a random different class, deterministic per seed, counting for that class's group effects.	
E0008	catalog	CARD_CATALOG	Balls		Common	suit;prop;status;combo	Ball props arc down the column, picking talent targets at spawn, and apply the Juggling status; a Juggling card pays out its column score when it later scores.	Added
E0009	catalog	CARD_CATALOG	Bauta		Rare	stamp;info;gamble;secret	This card's rarity and identity are hidden from inspections, towns, and effects until it scores.	
E0010	catalog	CARD_CATALOG	Bian Lian		Rare	skill;Magician;Clown;movement;secret	Cue: instantly swap this card's rank and suit with an adjacent card's.	
E0011	catalog	CARD_CATALOG	Blondin's Crossing		Rare	skill;Acrobat;movement;formation	Once per show: shift an entire row one column left or right, wrapping around the board edge.	
E0012	catalog	CARD_CATALOG	Blowdown		Rare	hazard;discard;random	Weather boss: at show start and each Next, a random seeded Grand Entrance card is discarded.	
E0013	catalog	CARD_CATALOG	Bottom Deal		Common	skill;Fortune Teller;deck-manip	Cue: this turn, draws come from the bottom of the deck instead of the top.	
E0014	catalog	CARD_CATALOG	Brass Check		Common	stamp;economy;token;Producer	Whenever this card's effects trigger, mint a Gold token card onto the top of the draw deck.	
E0015	catalog	CARD_CATALOG	Brass Ring		Rare	rule;combo;economy;movement	A token rotates one column per turn; if that column scores while the ring is on it, the meld pays double and a Ticket Stub is banked.	
E0016	catalog	CARD_CATALOG	Brodie's Leap		Uncommon	skill;Escape Artist;gamble;economy;secret	Banks fame each show for a stunt that never happened; if ever exposed by an inspection effect, loses double everything banked.	
E0017	catalog	CARD_CATALOG	Buried Alive		Rare	skill;Escape Artist;gamble;growth	Cue: remove a card from the game for 2 shows; it returns upgraded one rarity, with a seeded chance it does not return at all.	
E0018	catalog	CARD_CATALOG	Canvas		Common	type;protection	The first debuff or status applied to this card each show is discarded.	
E0019	catalog	CARD_CATALOG	Cascade Scorer		Common	rule;combo	On Submit, scores all rows of the board first, then all columns simultaneously per row band.	
E0020	catalog	CARD_CATALOG	Cheat Day		Uncommon	skill;Concessions;growth;economy	If the show is won with cards still in the draw deck, every remaining card in the deck gains +1 rank permanently.	
E0021	catalog	CARD_CATALOG	Chindon'ya		Uncommon	consumable;economy	Consumable: the next town's fame requirement drops 15%.	
E0022	catalog	CARD_CATALOG	Clever Hans		Uncommon	skill;Animal Trainer;formation;secret	Counts as a copy of its highest adjacent neighbor's rank; if it has no neighbors, its rank is 1.	
E0023	catalog	CARD_CATALOG	Clown Car		Epic	skill;Clown;deck-manip;combo	On Next, draws one extra card into this card's column, plus one more per Clown-class card scored last submit.	
E0024	catalog	CARD_CATALOG	Colleano's Somersault		Uncommon	skill;Acrobat;movement;spotlight	Cue: swaps positions with the single card covering it.	
E0025	catalog	CARD_CATALOG	Column Poker		Uncommon	skill;Special Effects;formation;combo	While spotlit, every full 5-card band of this card's column is evaluated as a poker hand at scoring.	
E0026	catalog	CARD_CATALOG	Common		Common	skill;Producer;economy;meta	While in the deck, doubles the chance of Rare cards appearing in packs/shops.	
E0027	catalog	CARD_CATALOG	Contract Ink		Uncommon	stamp;economy;persistence	Scores +X points per show it is played; if benched two shows in a row, it is removed from the deck.	
E0028	catalog	CARD_CATALOG	Custard Pie		Uncommon	skill;Clown;combo;prop	Cue: target card's suit becomes Balls; if that completes a flush row, gain bonus multiplier immediately.	
E0029	catalog	CARD_CATALOG	Dead Man's Hand		Legendary	rule;secret;gamble	Hidden rule: scoring two pair, Aces over Eights, in one row pays a jackpot and triggers a map event.	
E0030	catalog	CARD_CATALOG	Dedi's Mercy		Rare	skill;Magician;protection;destruction	Once per show, when one of your cards is destroyed, restore it to the discard pile instead.	
E0031	catalog	CARD_CATALOG	Deus ex Machina		Legendary	consumable;protection;meta	Consumable, once per run: when a show is lost, it is instead won at exactly the goal.	
E0032	catalog	CARD_CATALOG	Diabolo		Uncommon	skill;Acrobat;movement;combo	Every Next, alternates between two adjacent columns, granting bonus points to the top card of the column it leaves.	
E0033	catalog	CARD_CATALOG	Digital		Uncommon	type;protection	This card cannot be discarded from the board by any effect.	
E0034	catalog	CARD_CATALOG	Double Trigger		Rare	stamp;combo	All of this card's effects trigger twice, once per scoring pass.	
E0035	catalog	CARD_CATALOG	Drumroll		Common	skill;Special Effects;combo	The last meld scored each act gets bonus multiplier.	
E0036	catalog	CARD_CATALOG	Duende		Legendary	skill;Special Effects;combo;secret	When an act scores 5 or more distinct combo classes and every meld that act raised the combo, this card triggers and triples the act's payout.	
E0037	catalog	CARD_CATALOG	Earth		Uncommon	type;movement	Whenever its stack settles, this card sinks to the bottom of its stack, carrying its stamp with it.	
E0038	catalog	CARD_CATALOG	Echoing Trigger		Uncommon	skill;meta-effect;combo	All triggers on the board repeat once, per card per scoring pass.	
E0039	catalog	CARD_CATALOG	Edith's Bayonet		Rare	skill;Escape Artist;destruction;growth	Cue: permanently destroy one Knives-suit card and add its rank to this card's own, forever.	
E0040	catalog	CARD_CATALOG	Electric		Epic	suit;prop;formation;combo	When an Electric card scores, an arc prop hops card-to-card through orthogonally adjacent cards, adding points per link, until it reaches a gap.	Added
E0041	catalog	CARD_CATALOG	Epic		Epic	skill;Producer;economy;meta	While in the deck, doubles the chance of Legendary cards appearing in packs/shops.	
E0042	catalog	CARD_CATALOG	Escaramuza		Uncommon	skill;Dancer;formation	When the board's column heights read the same left-to-right as right-to-left at scoring, gain bonus multiplier on the act.	
E0043	catalog	CARD_CATALOG	Exchange Voucher		Uncommon	skill;Producer;movement;deck-manip	Usable from anywhere (including the deck): cue to swap this card's position with any card on screen.	
E0044	catalog	CARD_CATALOG	Extra Point		Common	skill;meta-effect;combo	Gain extra flat points on score (currently +10).	
E0045	catalog	CARD_CATALOG	Eye of God		Legendary	skill;god-cycle;info;secret	Reveals all decks (including draw order), the hidden rules deck, and the true identity of every card, including Gaffs, Humbugs, and Riders.	
E0046	catalog	CARD_CATALOG	Fairy Floss		Common	skill;Concessions;status;formation	When scored, gives +1 rank to all adjacent cards for the rest of the show.	
E0047	catalog	CARD_CATALOG	Final Act		Rare	type;deck-manip;combo	After every shuffle, this card sinks below all non-Heavy cards and only enters play after the rest of the deck is drawn; it scores a bonus multiplier as the closer.	
E0048	catalog	CARD_CATALOG	Firetown's Snub		Uncommon	hazard;prop;status	Town hazard: Flames-suit effects score nothing here, and Burning statuses do not multiply.	
E0049	catalog	CARD_CATALOG	Fireworks		Epic	suit;prop;Special Effects;economy	When a Fireworks card scores, its rocket prop rises up the column and banks the column score directly.	Added
E0050	catalog	CARD_CATALOG	First Act		Uncommon	type;deck-manip	After every shuffle, this card moves to the top of the deck and enters play alone before any other card that Next.	
E0051	catalog	CARD_CATALOG	First of May		Uncommon	skill;Producer;growth;event-granted	A random Common card that permanently upgrades to its Rare version after scoring 10 times across the run.	
E0052	catalog	CARD_CATALOG	Flagpole Sitter		Uncommon	skill;Acrobat;persistence;formation	Gains bonus points for each consecutive show it ends as the top card of the same column; any move resets the streak to zero.	
E0053	catalog	CARD_CATALOG	Flames		Common	suit;prop;status;combo	Fire props arc down the column applying Burning; a Burning card's suit effect fires with multiplied prop count, and fire cascades can chain within the same act.	Added
