eid	origin	source	name	slot	rarity	groups	mechanic	status	also_seen_in	dupe_count
E0001	catalog	CARD_CATALOG	72 Transformations		Epic	skill;Magician;random;collection;meta	Cue: copy any spotlit card's skill; transformations are counted across the run, and at 72 this card permanently upgrades to Legendary stats.			0
E0002	catalog	CARD_CATALOG	Air		Uncommon	type;movement	Whenever its stack settles, this card floats to the top of its stack.			0
E0003	catalog	CARD_CATALOG	Ascetic		Uncommon	stamp;protection;hazard	Immune to row- and floor-targeting hazards.		designdocs	1
E0004	catalog	CARD_CATALOG	Audience Patience		Uncommon	rule;economy;combo	Each show, patience starts at N; each grab/place spends 1 patience, a unique effect trigger refunds 1; at 0 patience the Entrance drops automatically.			0
E0005	catalog	CARD_CATALOG	Automaton		Rare	type;charges;movement	Every Next this card performs its cue automatically for free, but it can never be cued manually.			0
E0006	catalog	CARD_CATALOG	Avalanche		Rare	skill;Special Effects;economy;combo	After scoring, reduces the show's goal by the number of cards currently on the board.			0
E0007	catalog	CARD_CATALOG	Bahurupiya		Rare	type;random;deck-manip	At the start of each show this card arrives as a random different class, deterministic per seed, counting for that class's group effects.			0
E0008	catalog	CARD_CATALOG	Balls		Common	suit;prop;status;combo	Ball props arc down the column, picking talent targets at spawn, and apply the Juggling status; a Juggling card pays out its column score when it later scores.	Added		0
E0009	catalog	CARD_CATALOG	Bauta		Rare	stamp;info;gamble;secret	This card's rarity and identity are hidden from inspections, towns, and effects until it scores.			0
E0010	catalog	CARD_CATALOG	Bian Lian		Rare	skill;Magician;Clown;movement;secret	Cue: instantly swap this card's rank and suit with an adjacent card's.			0
E0011	catalog	CARD_CATALOG	Blondin's Crossing		Rare	skill;Acrobat;movement;formation	Once per show: shift an entire row one column left or right, wrapping around the board edge.		designdocs	1
E0012	catalog	CARD_CATALOG	Blowdown		Rare	hazard;discard;random	Weather boss: at show start and each Next, a random seeded Grand Entrance card is discarded.		designdocs	1
E0013	catalog	CARD_CATALOG	Bottom Deal		Common	skill;Fortune Teller;deck-manip	Cue: this turn, draws come from the bottom of the deck instead of the top.			0
