source	category	name	rarity	mechanic
balatro	joker	Joker	Common	+4 Mult.
balatro	joker	Greedy Joker	Common	Played cards with Diamond suit give +3 Mult when scored.
balatro	joker	Lusty Joker	Common	Played cards with Heart suit give +3 Mult when scored.
balatro	joker	Wrathful Joker	Common	Played cards with Spade suit give +3 Mult when scored.
balatro	joker	Gluttonous Joker	Common	Played cards with Club suit give +3 Mult when scored.
balatro	joker	Jolly Joker	Common	+8 Mult if played hand contains a Pair.
balatro	joker	Zany Joker	Common	+12 Mult if played hand contains a Three of a Kind.
balatro	joker	Mad Joker	Common	+10 Mult if played hand contains a Two Pair.
balatro	joker	Crazy Joker	Common	+12 Mult if played hand contains a Straight.
balatro	joker	Droll Joker	Common	+10 Mult if played hand contains a Flush.
balatro	joker	Sly Joker	Common	+50 Chips if played hand contains a Pair.
balatro	joker	Wily Joker	Common	+100 Chips if played hand contains a Three of a Kind.
balatro	joker	Clever Joker	Common	+80 Chips if played hand contains a Two Pair.
balatro	joker	Devious Joker	Common	+100 Chips if played hand contains a Straight.
balatro	joker	Crafty Joker	Common	+80 Chips if played hand contains a Flush.
balatro	joker	Half Joker	Common	+20 Mult if played hand contains 3 or fewer cards.
balatro	joker	Joker Stencil	Uncommon	X1 Mult for each empty Joker slot (including this card).
balatro	joker	Four Fingers	Uncommon	All Flushes and Straights can be made with 4 cards.
balatro	joker	Mime	Uncommon	Retrigger all card held-in-hand abilities.
balatro	joker	Credit Card	Common	Allows going up to -$20 in debt.
balatro	joker	Ceremonial Dagger	Uncommon	When Blind is selected, destroys the Joker to the right and adds double its sell value as a permanent Mult bonus.
balatro	joker	Banner	Common	+30 Chips for each remaining discard.
balatro	joker	Mystic Summit	Common	+15 Mult when 0 discards remaining.
balatro	joker	Marble Joker	Uncommon	Adds one Stone card to the deck when Blind is selected.
balatro	joker	Loyalty Card	Uncommon	X4 Mult every 6 hands played.
balatro	joker	8 Ball	Common	1 in 4 chance for each played 8 to create a Tarot card when scored.
balatro	joker	Misprint	Common	+0 to +23 Mult (random) per hand.
balatro	joker	Dusk	Uncommon	Retrigger all played cards in the final hand of the round.
balatro	joker	Raised Fist	Common	Adds double the rank of the lowest ranked card held in hand to Mult.
balatro	joker	Chaos the Clown	Common	1 free reroll per shop.
balatro	joker	Fibonacci	Uncommon	Each played Ace, 2, 3, 5, or 8 gives +8 Mult when scored.
balatro	joker	Steel Joker	Uncommon	Gives X0.2 Mult for each Steel Card in your full deck.
balatro	joker	Scary Face	Common	Played face cards give +30 Chips when scored.
balatro	joker	Abstract Joker	Common	+3 Mult for each Joker card.
balatro	joker	Delayed Gratification	Common	Earn $2 per discard if no discards are used by end of round.
balatro	joker	Hack	Uncommon	Retrigger each played 2, 3, 4, or 5.
balatro	joker	Pareidolia	Uncommon	All cards are considered face cards.
balatro	joker	Gros Michel	Common	+15 Mult; 1 in 6 chance this card is destroyed at end of round.
balatro	joker	Even Steven	Common	Played cards with even rank give +4 Mult when scored.
