source	name	rarity	groups	mechanic	status
CARD_CATALOG	Hoops	Common	suit;prop;combo	When a Hoops card scores, hoop props sweep the scored row and re-score every skill card they pass through; talented spawners suppress their own suit effect.	Added
CARD_CATALOG	Knives	Common	suit;prop;economy	Knife props launch from the opposite row edge and score plain non-skill prop cards they pass; the spawner also scores itself.	Added
CARD_CATALOG	Balls	Common	suit;prop;status;combo	Ball props arc down the column, picking talent targets at spawn, and apply the Juggling status; a Juggling card pays out its column score when it later scores.	Added
CARD_CATALOG	Flames	Common	suit;prop;status;combo	Fire props arc down the column applying Burning; a Burning card's suit effect fires with multiplied prop count, and fire cascades can chain within the same act.	Added
CARD_CATALOG	Gold	Rare	suit;economy;token;Producer	Gold-suit cards count as currency at full trade value in shops; when a Gold card scores, it mints a Heavy Gold token card to the deck bottom.	Modified (type instead of suit, effect is that it increases its own cost, is heavy) (gold gen should be its own talent)
CARD_CATALOG	Electric	Epic	suit;prop;formation;combo	When an Electric card scores, an arc prop hops card-to-card through orthogonally adjacent cards, adding points per link, until it reaches a gap.	Added
CARD_CATALOG	Fireworks	Epic	suit;prop;Special Effects;economy	When a Fireworks card scores, its rocket prop rises up the column and banks the column score directly.	Added
CARD_CATALOG	Roman Numerals	Common	pip;cosmetic	This card's rank displays as Roman numerals; melds, stacking and comparisons are unaffected.	Added
CARD_CATALOG	The Blank	Common	pip;movement;freakshow	This card has no rank or suit: it can stack on anything and anything can stack on it, but it never melds and scores 0.	Added
CARD_CATALOG	The Joey	Common	pip;Clown	Jacks are renamed and count as Clown-class cards for group effects.	Vetoed (rank that is always 11 is boring, joey should be a clown token with actual effect)
CARD_CATALOG	The Ringmistress	Common	pip;Producer	Queens are renamed and count as Producer-class cards for group effects.	Vetoed (reference can be recycled)
CARD_CATALOG	The Impresario	Common	pip;Producer;economy	Kings are renamed, count as Producer-class cards, and give +1 trade value when spent at shops.	Vetoed (reference can be recycled)
CARD_CATALOG	The Headliner	Uncommon	pip;movement;combo	Aces are renamed and count as either rank 1 or rank 14 in runs, whichever is more favorable, decided at evaluation time.	Vetoed (reference can be recycled)
CARD_CATALOG	Half-Step	Uncommon	pip;movement;freakshow	This card has rank N and a half, letting it stack legally between rank N and N+1 in runs, but it never participates in poker melds.	Added (makes more sense as hat)
CARD_CATALOG	The Fifteen	Uncommon	pip;combo;Special Effects	This card also melds with any adjacent neighbors whose ranks sum to 15 with it.	Added (made into talent)
CARD_CATALOG	The Best Bower	Uncommon	pip;combo	This card counts as every suit for flush evaluation, but not for suit-stacking rules.	Added (added effect that it randomly acts as any prop from the game)
CARD_CATALOG	The Half Card	Rare	pip;movement;freakshow	This card has half rank (rounded down) and half size: two copies occupy one board slot together and meld as one combined card.	Modified (either talent that splits into two halves down middle, or becomes two cards where rank is half. recombines on score as its own meld)
CARD_CATALOG	Harlequin	Rare	pip;prop;combo	This card counts as both of its printed suits for every comparison, meld, and suit effect, firing both suits' props.	vetoed (2 suit suit is boring)
CARD_CATALOG	The Fire-Knife	Rare	pip;prop;status;combo	This card is fixed dual-suit Knives and Flames: knife props fly the row while Burning status drops down the column.	vetoed (already have fire and knives)
CARD_CATALOG	The Wildcard	Rare	pip;random;deck-manip	On every board change, this card becomes a copy of a rank/suit currently present in its row, chosen deterministically.	Added (is any rank instead)
CARD_CATALOG	The Forged Ace	Legendary	pip;gamble;event-granted;secret	This card has an enormous rank that counts as two Aces in melds; if any inspection effect examines it, it is destroyed and the show's fame payout is voided.	Vetoed (??? wtf is this)
CARD_CATALOG	Paper	Common	type	Default material with no modifier behavior.	Added
CARD_CATALOG	Canvas	Common	type;protection	The first debuff or status applied to this card each show is discarded.	
CARD_CATALOG	Ticket Stub	Common	type;economy;token;Producer	Worth double trade value at shops; scores 0 and never melds on the board.	
CARD_CATALOG	Sawdust	Common	type;discard;Concessions	When this card is discarded from the board, its slot keeps a marker that gives the next card placed there bonus points on its first score.	
CARD_CATALOG	Heavy	Common	type;deck-manip	After any shuffle or return to deck, this card sinks to the deck bottom.	
CARD_CATALOG	Helium	Common	type;deck-manip	After any shuffle or return to deck, this card rises to the top and is always the first card drawn on Next.	
CARD_CATALOG	Air	Uncommon	type;movement	Whenever its stack settles, this card floats to the top of its stack.	
CARD_CATALOG	Earth	Uncommon	type;movement	Whenever its stack settles, this card sinks to the bottom of its stack, carrying its stamp with it.	
CARD_CATALOG	Water	Uncommon	type;movement	On Next, if an adjacent column is shorter, this card flows sideways into it, always seeking the lowest level.	Added
CARD_CATALOG	Tinder	Uncommon	type;status;prop	Whenever this card is covered by another card, the covering card catches Burning.	
CARD_CATALOG	Stone	Uncommon	type;movement;protection	Once placed on the board this card cannot be grabbed again, and it scores a bonus for remaining unmoved.	
CARD_CATALOG	Rosin	Uncommon	type;movement;formation	Cards placed onto this card cannot be picked up again, but score +1 bonus per ring deeper than they stand.	
CARD_CATALOG	Glass	Uncommon	type;destruction;gamble	Scores double points, and is destroyed permanently after its third score.	
CARD_CATALOG	Wax	Uncommon	type;status	At each show end, loses 1 rank for every Flames-suit card that shared its column that show, and is destroyed at rank 0.	
CARD_CATALOG	Flash	Uncommon	type;combo;gamble	The first time this card would score each show it scores triple; every later score that show is zero.	
CARD_CATALOG	Digital	Uncommon	type;protection	This card cannot be discarded from the board by any effect.	
CARD_CATALOG	Null	Uncommon	type;hazard;freakshow	Junk material inserted by hazards: occupies a slot, scores nothing, and melds nothing.	
CARD_CATALOG	First Act	Uncommon	type;deck-manip	After every shuffle, this card moves to the top of the deck and enters play alone before any other card that Next.	
CARD_CATALOG	Second Act	Uncommon	type;deck-manip	After every shuffle, this card is placed exactly at the deck's midpoint and enters play alone.	
CARD_CATALOG	Final Act	Rare	type;deck-manip;combo	After every shuffle, this card sinks below all non-Heavy cards and only enters play after the rest of the deck is drawn; it scores a bonus multiplier as the closer.	
CARD_CATALOG	Lithograph	Rare	type;spotlight	While this card sits in the Grand Entrance its skill is active globally; on the board it has no effect.	
CARD_CATALOG	Tintype	Rare	type;deck-manip;collection	On acquisition, permanently copies the rank and suit of the card it was created from.	
CARD_CATALOG	Automaton	Rare	type;charges;movement	Every Next this card performs its cue automatically for free, but it can never be cued manually.	
CARD_CATALOG	Bahurupiya	Rare	type;random;deck-manip	At the start of each show this card arrives as a random different class, deterministic per seed, counting for that class's group effects.	
CARD_CATALOG	Outlawed	Rare	type;gamble;economy	In pious/lawful towns this card cannot score at all; everywhere else it scores double.	
CARD_CATALOG	Spangle	Common	stamp;combo	The first time this card is part of any scored meld each act, it adds +1 to the act's combo.	
CARD_CATALOG	Marked	Common	stamp;info;deck-manip	Always shows this card's position in the draw deck.	
CARD_CATALOG	Brass Check	Common	stamp;economy;token;Producer	Whenever this card's effects trigger, mint a Gold token card onto the top of the draw deck.	
CARD_CATALOG	Greasepaint	Uncommon	stamp;Clown	This card counts as a Clown-class card in addition to its own class.	
CARD_CATALOG	Top Billing	Uncommon	stamp;combo;info	This card always scores first within its meld, controlling trigger order ahead of board-order dispatch.	
CARD_CATALOG	Ghost Light	Uncommon	stamp;spotlight	This card does not block the Spotlight of cards beneath it; they stay active as if uncovered.	
CARD_CATALOG	Revealing	Uncommon	stamp;spotlight	This card's modifiers stay active while covered.	
CARD_CATALOG	Maximum Effort	Uncommon	stamp;gamble;persistence	Doubles this card's points on score; afterward it is Exhausted (scores nothing) until a show passes in which it was never played.	
CARD_CATALOG	Understudy	Uncommon	stamp;destruction;deck-manip	If the card directly above this one in a stack is destroyed or consumed, this card permanently copies that card's skill.	
CARD_CATALOG	Marotte	Uncommon	stamp;destruction;protection	When this card is destroyed, a rank-1 copy of it (same skill, no stamp) survives in its place.	
CARD_CATALOG	Iron Body	Uncommon	stamp;protection	Immune to the first destruction or debuff that targets this card each show.	
CARD_CATALOG	Ascetic	Uncommon	stamp;protection;hazard	Immune to row- and floor-targeting hazards.	
CARD_CATALOG	Unpierceable	Uncommon	stamp;protection;prop	Knife props pass through this card harmlessly, but still count as a miss for miss-triggered bonuses.	
CARD_CATALOG	The Vine	Uncommon	stamp;protection;gamble	The first time this card would be destroyed or discarded by a fall or hazard each tour, it survives instead.	
CARD_CATALOG	Contract Ink	Uncommon	stamp;economy;persistence	Scores +X points per show it is played; if benched two shows in a row, it is removed from the deck.	
CARD_CATALOG	Double Trigger	Rare	stamp;combo	All of this card's effects trigger twice, once per scoring pass.	
CARD_CATALOG	Global	Rare	stamp;spotlight;deck-manip	This card's modifiers are active from anywhere: board, Entrance, draw deck, or discard.	
CARD_CATALOG	The Encore	Rare	stamp;gamble;combo	If this card's skill triggered this show, there is a seeded 50% chance it triggers once more at show end.	
CARD_CATALOG	Lloyd's Policy	Rare	stamp;protection;economy	The first time this card would be destroyed or debuffed, prevent it and mint 2 Gold tokens instead.	
CARD_CATALOG	Kuroko	Rare	stamp;spotlight;protection	This card does not block Spotlight beneath it and cannot be targeted by boss or town effects.	
CARD_CATALOG	Bauta	Rare	stamp;info;gamble;secret	This card's rarity and identity are hidden from inspections, towns, and effects until it scores.	
CARD_CATALOG	Self-Granted Title	Rare	stamp;economy;info	This card counts as one rarity higher for all effects and bonuses, but not for pack or shop pool rolls.	
CARD_CATALOG	The Illustrated	Rare	stamp;Costume Designer;collection	This card may hold unlimited stamps, but can never hold a skill.	
CARD_CATALOG	The Avatar	Rare	stamp;info;secret	This card copies another deck card's name, class, and identity for all checks until it has scored 3 times, at which point it is unmasked.	
CARD_CATALOG	Ringmaster's Grip	Rare	stamp;movement	This card and the stack it heads can always be picked up, regardless of stack legality.	
CARD_CATALOG	The Wedding Band	Rare	stamp;deck-manip;formation	Applied to two cards: the pair always shuffles adjacent to each other and is always drawn together.	
CARD_CATALOG	The Belt	Legendary	stamp;economy;persistence;secret	Exactly one card in the save file holds this stamp at a time; it scores double, and a Belt-challenge boss can take it and it must be won back.	
CARD_CATALOG	Input Column	Common	rule;movement	One per column: on Next, drops its upper-zone stack into the paired board column, then draws a card from the deck to refill.	
CARD_CATALOG	Ring Column	Common	rule;formation	One per column: adds one board (lower zone) column at game creation; its rank equals which column it is.	
CARD_CATALOG	OG Grabber	Common	rule;movement	Default grab legality: a stack may be picked up if it is an ascending or descending run with no two same-suit cards adjacent.	
CARD_CATALOG	OG Placer	Common	rule;movement	Default placement legality: a stack may be placed where the join continues a legal run without same-suit contact.	
CARD_CATALOG	Cascade Scorer	Common	rule;combo	On Submit, scores all rows of the board first, then all columns simultaneously per row band.	
CARD_CATALOG	Poker Evaluator	Common	rule;combo	Evaluates each scored line for its best poker hand; only the best poker hand per line pays.	
CARD_CATALOG	Free Undo	Common	rule;meta	Grants one free undo per turn that does not carry over.	
CARD_CATALOG	Label	Uncommon	rule;info;secret	While this rule card is in the (normally hidden) rules deck, its effect text is announced on the board.	
CARD_CATALOG	Soundcheck	Uncommon	rule;movement;meta	At show start, grants one free move (grab and place one stack) before the first Next, without spending an act.	
CARD_CATALOG	Audience Patience	Uncommon	rule;economy;combo	Each show, patience starts at N; each grab/place spends 1 patience, a unique effect trigger refunds 1; at 0 patience the Entrance drops automatically.	
CARD_CATALOG	The Booking	Uncommon	rule;gamble;economy	Declares a goal/term for the show (e.g. score X with no Knife melds); fulfilling it grants bonus fame, missing it triggers a worse penalty.	
CARD_CATALOG	Brass Ring	Rare	rule;combo;economy;movement	A token rotates one column per turn; if that column scores while the ring is on it, the meld pays double and a Ticket Stub is banked.	
CARD_CATALOG	Performance Rings	Rare	rule;formation;combo	Rows 1-5 pay 1x, rows 6-10 pay 2x, rows 11-15 pay 3x, and so on by board depth.	
CARD_CATALOG	Symmetrical Show	Rare	rule;combo;formation	Poker hands are also evaluated on columns in addition to rows.	
CARD_CATALOG	The Contrary	Rare	rule;combo;random	Descending runs count as ascending, and the worst poker hand scores instead of the best, on each row.	
CARD_CATALOG	Kayfabe	Epic	rule;secret;gamble	While in play, all Gaff/Humbug/fake cards count as real and score as what they pretend to be; removing this card reverts that.	
CARD_CATALOG	Sword Swallower	Epic	rule;secret;formation	Hidden rule: a column that is one perfect descending run from top to floor pays a large bonus and mints a Knife-suit card.	
CARD_CATALOG	Dead Man's Hand	Legendary	rule;secret;gamble	Hidden rule: scoring two pair, Aces over Eights, in one row pays a jackpot and triggers a map event.	
CARD_CATALOG	The Forty-Two	Legendary	rule;secret;combo	Hidden rule: when a row's score plus its column's score totals exactly 42, the act's combo gains +3.	
CARD_CATALOG	The Three Rings	Legendary	rule;secret;formation;meta	Hidden rule: scoring three separate full 5-card poker hands (three full rows) in one submit permanently unlocks a third-zone rule card for the profile.	
CARD_CATALOG	The Voladores	Legendary	rule;secret;formation;meta	Hidden rule: scoring four different columns each containing a 13-rank descent in one show banks 52x base fame.	
CARD_CATALOG	The Yakuza Hand	Legendary	rule;secret;gamble	Hidden rule: scoring a meld of exactly ranks 8-9-3 pays a large jackpot.	
CARD_CATALOG	The Butterfly Trick	Common	skill;Magician;token;movement	Cue: create two rank-1 paper-token cards of any suit that drift down one chosen column, one row per Next.	
CARD_CATALOG	Mystery Box	Common	skill;Magician;random	On game start, this card becomes a random skill for the rest of the run, deterministic per seed.	
CARD_CATALOG	The Egg Bag	Uncommon	skill;Magician;deck-manip;discard	Cue while spotlit: stash the top discard inside this card; when this card scores, the stashed card returns to the Grand Entrance.	
CARD_CATALOG	Sawing in Half	Uncommon	skill;Magician;deck-manip;movement	Cue: split a target card into two same-suit cards of half rank (one rounded up, one down); this card exhausts for the show.	
CARD_CATALOG	Misdirection	Uncommon	skill;Magician;spotlight	While spotlit, the topmost covered card in each adjacent column is also treated as spotlit.	
CARD_CATALOG	The Digesting Duck	Uncommon	skill;Animal Trainer;Magician;deck-manip	Consumes cards dropped on it like Gluttony, but secretly stores them; cue to return any one stored card to the Entrance.	
CARD_CATALOG	Pandora's Box	Uncommon	skill;Magician;random	On game start becomes a random skill; on game end resets back to this skill.	
CARD_CATALOG	Metamorphosis	Rare	skill;Magician;deck-manip;gamble	Cue: swap this card with any card in the draw deck (seen or unseen), taking its board position.	
CARD_CATALOG	The Ambitious Card	Rare	skill;Magician;deck-manip	This card always rises to the top of the draw deck after any shuffle or discard, and scores bonus points if drawn the same show it was discarded.	
CARD_CATALOG	The Card Index	Rare	skill;Magician;deck-manip	Cue, once per show: search the draw deck for any card and put it into the Grand Entrance.	
CARD_CATALOG	Walking Through the Wall	Rare	skill;Magician;movement	Cue: move this card through an occupied slot to the empty slot beyond it.	
CARD_CATALOG	Pepper's Ghost	Rare	skill;Magician;formation;combo	While spotlit, an intangible duplicate of this card appears in the opposite zone; it scores in melds but cannot be touched, moved, or targeted.	
CARD_CATALOG	Psycho	Rare	skill;Magician;deck-manip;movement	Every Next, automatically plays the top card of the draw deck into this card's column.	
CARD_CATALOG	Dedi's Mercy	Rare	skill;Magician;protection;destruction	Once per show, when one of your cards is destroyed, restore it to the discard pile instead.	
CARD_CATALOG	The Turk	Rare	skill;Magician;formation;secret	This card's rank counts as the rank of the card directly beneath it in the stack; if that card is removed, its rank is 0.	
CARD_CATALOG	The Imitator	Rare	skill;Magician;gamble;secret	Choose a deck card at acquisition: this card scores 150% of that card's base points, but only while the original is not on the board.	
CARD_CATALOG	The Calm Voice	Rare	skill;Magician;protection;economy	Once per run, negate a disaster event or boss effect and gain fame equal to its severity instead.	
CARD_CATALOG	Bian Lian	Rare	skill;Magician;Clown;movement;secret	Cue: instantly swap this card's rank and suit with an adjacent card's.	
CARD_CATALOG	Frankenstein	Rare	skill;Magician;formation;persistence	On submit, merges with the cards directly above and below it into one 3-card stack of summed rank that stays in the zone after scoring.	
CARD_CATALOG	The Light and Heavy Chest	Rare	skill;Magician;movement;protection	The player can always grab this card, but board effects and hazards cannot move or discard it.	
CARD_CATALOG	Utter Chaos	Rare	skill;Magician;random;combo	Becomes a random skill on every Next, deterministic per history hash.	
CARD_CATALOG	Grand Vanish	Epic	skill;Magician;protection;formation	Cue, once per show: hide an entire column so it cannot be seen, targeted, scored, or touched for one turn; it then returns with bonus points on every card.	
CARD_CATALOG	72 Transformations	Epic	skill;Magician;random;collection;meta	Cue: copy any spotlit card's skill; transformations are counted across the run, and at 72 this card permanently upgrades to Legendary stats.	
CARD_CATALOG	The Bullet Catch	Legendary	skill;Magician;gamble;destruction	When scored in the Spotlight, scores 10x rank, but has a seeded 1-in-13 chance of being destroyed instead.	
CARD_CATALOG	Tumbler's Poise	Common	skill;Acrobat;charges;movement	1 charge per turn: cue to hop this card one column sideways; an unused charge auto-spends on Next.	
CARD_CATALOG	The Acrobat	Uncommon	skill;Acrobat;movement	This card can be grabbed even while covered; the cards above cascade down one slot.	
CARD_CATALOG	Diabolo	Uncommon	skill;Acrobat;movement;combo	Every Next, alternates between two adjacent columns, granting bonus points to the top card of the column it leaves.	
CARD_CATALOG	The Leotard	Uncommon	skill;Acrobat;movement	Cue: move this card and everything above it to the top of any column, ignoring legality.	
