source	category	name	rarity	mechanic
cryptid	joker	m	Epic	Gains X13 Mult when Jolly Joker is sold (starts at X1)
cryptid	joker	Happy House	Uncommon	Gains ^4 Mult only after playing 114 hands
cryptid	joker	Dropshot	Rare	Gains X0.2 Mult per played nonscoring card of a suit that changes every round
cryptid	joker	Canvas	Epic	Retriggers all Jokers to the left once for every non-Common Joker to the right of this Joker
cryptid	joker	Cursor	Common	Gains +8 Chips for each card purchased
cryptid	joker	Double Scale	Epic	Scaling Jokers scale quadratically instead of linearly (e.g. +1, +3, +6, +10)
cryptid	joker	Queen's Gambit	Common	If played hand is a Royal Flush, destroys the scored Queen and creates a Negative Rare Joker
cryptid	joker	Jimball	Rare	Gains X0.15 Mult per consecutive hand played while playing your most-played poker hand
cryptid	joker	Compound Interest	Rare	Earns 12% of total money at end of round, increasing by 3% per consecutive payout
cryptid	joker	Triplet Rhythm	Common	X3 Mult if scoring hand contains exactly three 3s
cryptid	joker	Cube	Common	+6 Chips (costs -$27)
cryptid	joker	Number Blocks	Epic	Earns $1 at end of round, +$1 more for each card of a rank (which changes every round) held in hand
cryptid	joker	Maximized	Rare	All face cards are considered Kings, all numbered cards are considered 10s
cryptid	joker	Googol Play Card	Epic	1 in 8 chance for X1.0e100 Mult
cryptid	joker	The WHIP	Uncommon	Gains X0.5 Mult if played hand contains a 2 and 7 of different suits
cryptid	joker	Absurd Joker	Common	+4 Mult if played hand contains a High Card
cryptid	joker	Nutty Joker	Common	+19 Mult if played hand contains a Four of a Kind
cryptid	joker	Manic Joker	Common	+22 Mult if played hand contains a Straight Flush
cryptid	joker	Silly Joker	Common	+16 Mult if played hand contains a Full House
cryptid	joker	Delirious Joker	Common	+22 Mult if played hand contains a Five of a Kind
cryptid	joker	Wacky Joker	Common	+30 Mult if played hand contains a Flush House
cryptid	joker	Kooky Joker	Common	+30 Mult if played hand contains a Flush Five
cryptid	joker	Kidnapping	Common	Earns $1 at end of round, +$3 more when a Mult-type or Chips-type Joker is sold
cryptid	joker	Dubious Joker	Common	+20 Chips if played hand contains a High Card
cryptid	joker	Shrewd Joker	Common	+150 Chips if played hand contains a Four of a Kind
cryptid	joker	Tricksy Joker	Common	+170 Chips if played hand contains a Straight Flush
cryptid	joker	Foxy Joker	Common	+130 Chips if played hand contains a Full House
cryptid	joker	Savvy Joker	Common	+170 Chips if played hand contains a Five of a Kind
cryptid	joker	Subtle Joker	Common	+240 Chips if played hand contains a Flush House
cryptid	joker	Discreet Joker	Common	+240 Chips if played hand contains a Flush Five
cryptid	joker	Krusty the Clown	Uncommon	Gains X0.02 Mult when each played card is scored
cryptid	joker	Boredom	Epic	1 in 2 chance to retrigger each Joker or played card (does not affect other copies of Boredom)
cryptid	joker	Circus	Epic	Rare Jokers give X2 Mult, Epic give X3, Legendary give X4, Exotic give X20, each
cryptid	joker	Booster Joker	Uncommon	+1 Booster Pack slot available in shop
cryptid	joker	Membership Card	Legendary	X0.1 Mult per member in the Cryptid Discord server (live count)
cryptid	joker	Lucky Joker	Common	Earns $5 every time a Lucky card successfully triggers
cryptid	joker	AP Joker	Uncommon	X4 Mult against Boss Blinds
cryptid	joker	Meteor Shower	Common	Other Foil cards each give +75 Chips
cryptid	joker	Exoplanet	Common	Other Holographic cards each give +15 Mult
cryptid	joker	Stardust	Common	Other Polychrome cards each give X2 Mult
cryptid	joker	Night	Rare	^3 Mult on the final hand of the round, then self-destructs
cryptid	joker	Sapling	Uncommon	After scoring 18 Enhanced cards, sells itself to create an Epic Joker (Rare if Epic Jokers disabled)
cryptid	joker	Nostalgic Candy	Epic	Sell this card to permanently gain +3 hand size
cryptid	joker	Mondrian	Uncommon	Gains X0.25 Mult if no discards were used
cryptid	joker	Pickle	Uncommon	When Blind is skipped, creates 3 Tags, reduced by 1 each time a Blind is selected
cryptid	joker	Bus Driver	Uncommon	3 in 4 chance for +50 Mult, 1 in 4 chance for -50 Mult
cryptid	joker	Panopticon	Common	All hands are considered the last hand of each round
cryptid	joker	Chili Pepper	Uncommon	Gains X0.5 Mult at end of round, self-destructs after 8 rounds
cryptid	joker	Monkey Dagger	Uncommon	When Blind is selected, destroys Joker to the left and permanently adds 10x its sell value as +Chips
cryptid	joker	Old Membership Card	Epic	+1 Chips per member in the Cryptid Discord server (live count)
cryptid	joker	Blurred Joker	Common	Gain +1 hand when Blind is selected
cryptid	joker	Translucent Joker	Common	Sell this card to create a Banana Perishable copy of a random Joker
cryptid	joker	Crypto Coin	Common	Earns between $1 and $10 for each Joker sold
cryptid	joker	Sync Catalyst	Epic	Balances Chips and Mult (averages them)
cryptid	joker	Kaleidoscope	Rare	Adds Polychrome to a random Joker when Boss Blind is defeated
cryptid	joker	Morse Code	Common	Earns $1 at end of round, +$2 more when a card with an Edition is sold
cryptid	joker	One for All	Epic	+1 Booster Pack slot, +1 hand size, +1 consumable slot, +1 card in shop, +1 voucher slot
cryptid	joker	RNJoker	Uncommon	Randomizes its ability every Ante
cryptid	joker	Nostalgic Googol Play Card	Epic	Sell this card to create 2 copies of the leftmost Joker (excludes copying itself)
cryptid	joker	Labyrinth	Common	All hands are considered the first hand and all discards the first discard of the round
cryptid	joker	2D	Common	Retriggers each played 2, 2 additional times
cryptid	joker	:D	Common	Creates a random Joker at end of round; sell this card to create a random Joker (must have room)
cryptid	joker	Supercell	Epic	X2 Chips, X2 Mult, earns $3 at end of round
cryptid	joker	Jimbo-tron 9000	Epic	Gains ^1 Mult for each default Joker owned
