MOD	Trifolium	40	0	vanilla rebalance/number-tuning suite (rarity weights, stake tweaks, tag windows); no new mechanic shapes, all reskinned numeric variants
MOD	Tsunami	10	0	fuses every vanilla joker with one fixed status effect (Splash); combinatorial reskin, no new shape
MOD	Twitch Blinds	19	1	hazard set gated by live audience chat votes; effects otherwise are stock creates/copies/destroys
C	Twitch Blinds	The Flashlight	Cards drawn face down. Chat can flip them via "toggle [position]" with cooldown	a hazard deals cards into the grid face-down and a tap-to-activate skill elsewhere on the board can flip one face-up on a cooldown	M3	hazard
MOD	Typ0's Random Jokers	20	0	joke/meme joker pack, mostly flat +mult/+chips reskins and one probability-halving gimmick
MOD	Undertale/Deltarune	110	2	large vanilla-adjacent joker pack; almost entirely reskinned +chips/+mult/xmult conditionals already covered by taxonomy
C	Undertale/Deltarune	Old Man	Gains +1 mult per consecutive hand without playing any hand type twice in a row	a skill card's payout grows for each consecutive completed line whose hand type differs from the line completed just before it, and resets the first time two in a row repeat	A12	skill
C	Undertale/Deltarune	TV World	Gains +1 mult per consecutive hand played with a suit card, suit changes at end of round	a skill card tracks a single suit that it cares about, paying out while lines keep containing that suit, then rerolls which suit it watches at the end of the show	G6	skill
MOD	UNIK's mod	140	7	huge, mostly-numeric power-creep pack (overshoot scaling, epic/legendary blinds, rarities); a handful of shapes are genuinely novel for a grid
C	UNIK's mod	Energy Compressor	Stores all non-additive Mult and Chip effects then releases them in set order of Multiplicative, Loglinear, Exponential effects	a skill card banks every multiplicative-tier payout produced while it is spotlit and releases them all at once in a fixed resolution order (multiplicative, then log-scaled, then exponential) rather than as each line completes	A9	skill
C	UNIK's mod	Chelsea Ramirez / Maya Ramirez / Yokana Ramirez	Different Ramirez cards each gain their bonus when a different named class of point-operation triggers (Chips, XChips, ^Chips)	a family of skill cards each keys its payout to a different named CATEGORY of scoring operation happening anywhere on the board that show, not to a suit/rank/hand	A1	skill
C	UNIK's mod	Antivirus	Playing cards gain Shielded when enhanced, with the requirement that the enhancements be different	a status is granted to a card only when it already carries two or more distinct types stacked on it, rewarding variety of modification on a single card rather than on the board	I10	type
C	UNIK's mod	Iron Shackle / Miss Mizzle / Minimized	Iron Shackle: two named enhancements are considered the same enhancement for all effects; Minimized: all face cards count as one rank, all number cards count as another	a consumable or passive rule can permanently collapse a whole tier of distinct types or ranks into a single equivalence class board-wide, so every card in that tier reads as identical for every other effect	G5	consumable
C	UNIK's mod	Broken Arm / Detrimental Jokers	A card gets a strong effect for free but automatically self-destructs once a named counter-condition is reached, with a listed rival hazard/card that also triggers the same destruction	a class of skill cards ships pre-cursed: it grants a strong payout every show but tracks its own failure counter and destroys itself once that counter (or a paired hazard elsewhere on the board) fires, giving the player a visible countdown to plan around	L9	skill
C	UNIK's mod	Traced Art	Retrigger the rightmost Joker, but this specific retrigger cannot itself be retriggered by another card's retrigger effect	a retrigger skill explicitly reads the SIDE of the board (rightmost live skill) and is flagged immune to being itself re-fired by a different retrigger, closing off retrigger-of-retrigger chains by rule	A5	skill
C	UNIK's mod	Kouign Amann Cookie / Lush Forest / Shibazakura	Scored cards of one category give a mult bonus that grows the more consecutive scored cards this hand belong to that same category, capped, and resets between hands	a card's payout escalates within a single completed line based on a running streak of same-category cards scored back to back inside that one line, capped and reset every new line rather than every show	A4	skill
