C	UnStable	Decimal Ranks (Root 2, e, Pi, Half)	Decimal ranks sit between integer ranks and can substitute for either neighbor in a Straight; a Straight containing one is a distinct hand ("Gay")	V3	rank
C	UnStable	The Half	Splits 1 selected integer-rank card into 2 cards with half the rank (rounded down); if odd, also adds a 0.5-rank card	G7	consumable
C	UnStable	Micro SD Card	If in the leftmost cell, banks chips from cards leaving the board with rank 0/1 and strips their rank to 0; self-destruct chance grows with banked amount	C12	skill
C	UnStable	Social Experiment	For each played numbered card, doubles its points and gives them to the next card in sequence, then strips the source card's rank to 0	H5	skill
C	UnStable	Binary Number	If the completed line has 4 or fewer cards and all are rank 0/1, reads their ranks as a binary number and creates a card with that rank	B1	consumable
C	UnStable	Engineer	Decimal-rank cards count as the nearest integer rounded up, but only when the completed line is not a Straight	V1	skill
C	UnStable	Inductor	For each pair of played cards sharing rank and suit, chance to copy one card's type, stamp, or a further property onto the other	G3	skill
C	UnStable	Dummy Data	For each card not part of the completed line, chance to strip its rank to 0 while it keeps its banked points	G5	skill
MOD	UnStable	101	8	vanilla-esque content mod adding decimal ranks, auxiliary cards, seals and enhancements; most jokers are numeric variants of standard shapes, skipped
C	UP THE ANTE!	Guardsman	All scoring cards are retriggered once for every card in the line that did not score	A5	skill
C	UP THE ANTE!	Fish 'n Chips	The fifth card to score in a completed line permanently gains points, every time	C12	skill
C	UP THE ANTE!	Recursion	Retrigger all scoring cards if the completed line contains exactly one distinct rank	A5	skill
MOD	UP THE ANTE!	21	3	vanilla-adjacent joker pack, mostly numeric variants of standard suit/enhancement/edition mult effects
C	VallKarri	Full Mansion	A new hand type built from a Three of a Kind plus a Four of a Kind sharing the board at once	B1	consumable
C	VallKarri	Ancient Fingers	All cards of one suit on the board are forcibly placed into a completed line, then replaced with new draws	R4	hazard
C	VallKarri	Niko Gray	At level start, debuffs and doubles the values of the leftmost skill card, then removes the debuff at level end	H3	skill
C	VallKarri	Encore Deck/Sleeve	After a line scores, every end-of-show effect on the board fires immediately instead of waiting for the show to end	H6	consumable
MOD	VallKarri	92	4	chaotic unbalanced mod adding a leveling system and many new consumable types; most jokers are numeric or economy variants, skipped
C	Vanilla Redux	(mod-wide)	Rebalances existing joker numbers and scaling formulas (e.g. additive to multiplicative mult, threshold changes)	A3	skill
MOD	Vanilla Redux	45	0	balance-overhaul mod that only retunes numbers on existing vanilla effects, no new mechanic shapes
C	Vega's Stuff	Anaphase	After this card is played 3 times, creates a permanent basic copy of itself	G1	type
C	Vega's Stuff	(unnamed enhancement)	Gains points when scored, but loses points for every level it sits uncovered/held instead of being played	I5	type
C	Vega's Stuff	Stitched	If 2 or more Stitched-type cards are in the same completed line, retrigger the line once	A5	type
MOD	Vega's Stuff	44	3	small content mod adding enhancements and editions; most are numeric variants of standard scaling shapes
C	Venetian	The Pin / The Fence	A hazard that curses only the cards NOT on the edge of a line, or only the ones ON the edge, splitting the line by interior vs. border position	C13	hazard
C	Venetian	The Cross	A hazard that re-applies a curse to any card that was ever cursed earlier this run, tracking history rather than current state	T2	hazard
C	Venetian	The Trident	A hazard that forces every completed line this level to resolve as a fixed hand type (Three of a Kind) regardless of the cards played	B1	hazard
MOD	Venetian	23	3	small mod adding boss-blind hazards themed on curses/statuses; most are plain suit or rank debuffs, skipped
C	Vertigo	(unnamed hazard)	A hazard that only allows at most 2 cards in a completed line to actually score	A11	hazard
MOD	Vertigo	3	1	tiny mod adding traffic-sign-themed boss hazards, barely any content in this batch
C	Victin's Collection	The Loop / Lavender Loop	A hazard that, once cleared, immediately repeats itself with no refresh	R3	hazard
