
Seals,,,Types,,Skills,new ways to score points,different ways to reposition cards,"
 ways to increase points scored from existing cards",Changing rules of the game,deck manipulation to get cards you want,discard deck manipulation,ways to gain cards,ways to get rid of cards that you don’t want,modifying other cards,Cards that come at a price,persisting effects that go to next game?,creating temporary cards,creating mini games?,Inan Cooked
Double trigger,,,earth stays on bottom of deck,,,"sandwich card: on submission, if there is a same suit card later down the stack, gain a point for each card in between",Selection sort: moves up if card above is smaller,more poker: poker hands give double the points,"spaceship, this card can be placed in the void","while in deck, if an open card with a legal slot is ever available, move from deck to that slot","on score, put 2 random cards from discard pile into deck (Exhaust: card does not entire discard)","egg, when this card is submitted, instead become a completely random other card (higher rank)",champion: cards of the same rank on top or below this card are discarded,"hippo, when a single card is placed on top of this card, consume the card and gain its rank in value (rank wraps around)","all in: on next score, double total score, then double score needed next round","deja vu: this card remembers its placement on the board. the next time there is an open slot in that place, move there from anywhere","Frankenstein card: when submitted, combines with bottom and top card and becomes a 3 card merged stack and remains in submission zone after scoring","rabbit, if this card is clicked/grabbed on, move away to furthest orthogonal location",robber card: in between turns robbers steal high value cards
Trigger even when hidden,,,air stays on top of deck,,,"Poker card: When this card is evaluated, this card and the 4 cards above it are scored as a poker hand","trap, creates an extra empty space, the next card to go on it is instead placed below this card and the empty space is removed",goalpost: enhances random viable score type which changes per game,"distancing, card will hover at the top of the stack and not block its bottom card, and cannot be clicked on (counts as next row?)","pot of greed: when this card is in a slot by itself, discard and replace with two cards from deck",,,"rewrite: on entering the board, remembers cards below it, then on submission, replace same amount of cards below it",paintbrush: cards this is placed on become the same suit,,,,"the one ring: always know exactly where this card is, if destroyed permanently, win the match",lightning card: lightning strikes highest value card on board causing shock effect
Trigger when in deck,,,water moves downwards per turn,,,"if this card is not part of any scoring hands, give 10 points","parasite, attaches itself to the next card placed on top of this card, on submission, replace the host card with the parasite card",cheering team: each scored card of the same suit as this card gets extra points,any card can be placed on top of this card,future sight: see the next 5 cards,,,"snake: smaller rank cards below are consumed, leaving behind a temporary body card of the same rank","sniper: on next pressed, lower rank of last interacted card by one, discarding card if rank is one",,,,"jenga: clicking a card not on top places it at the top of the next smallest stack, and leaves behind an empty space. clicking on cards on top does nothing. each row cannot have more than 4 empty spaces, and each row must be connected by cards. breaking these rules will discard this card. empty spaces are collapsed when this card is no longer active","hurricane card: cards in a donut shape get wet, hurricane starts at random category 1-5 and moves and becomes weaker"
Money on trigger,,,fire moves upwards per turn,,,"Spiderweb, 1 point per card diagonal to this card and in a cross shape","stowaway, this card will move to the freeslot if it is open after being scored","combo: during scoring, cards gain temporary points equal to the hand they were scored in",,,,,,,,,,connect 4,[10:12 PM]
,,,gold cards act as money,,,"whenever a card triggers its effect, gain a point","tunneler, single cards placed on this card will move to bottom of stack ",noble family: each scored face card increases points of next scored face card by 1,,,,,,,,,,"fishing, put this card over the deck to trigger fishing minigame to get card from deck",tsunami card washes from the bottom upward lowering max card stack count and recedes
,,,"col card, give points to column on score",,,blackjack,turntable: flip entire board vertically,,,,,,,,,,,,[10:13 PM]
,,,"row card, give points to row on score",,,on submit score the input cards too,,,,,,,,,,,,,fema mode: after number of weather cards disaster relief becomes available
,,,,,,,,,,,,,,,,,,,[10:13 PM]
,,,,,,,,,,,,,,,,,,,earthquake card: board is scrambled
,,,,,,,,,,,,,,,,,,,[10:14 PM]
,,,,,,,,,,,,,,,,,,,tornado card: 1x1 area or scaling area based on tornado scale if that card is played its random
,,,,,,,,,,,,,,,,,,,[10:15 PM]
,,,,,,,,,,,,,,,,,,,eruption: cards receive burned effect in an expanding snake and you are fricked because there is no counter to volcanic eruptions
,,,,,,,,,,,,,,,,,,,[10:16 PM]
,,,,,,,,,,,,,,,,,,,monopoly: playing flush fives of a card removes that card from future generation
,,,,,,,,,,,,,,,,,,,fire: spreads to some kind of wood-esque card but gets blocked by roads (so some other kind of card)
,,,,,,,,,,,,,,,,,,,[10:17 PM]
,,,,,,,,,,,,,,,,,,,windy day: you dropped your cards because its too windy so cards randomly shift over 1 row/col (edited)
,,,,,,,,,,,,,,,,,,,[10:18 PM]
,,,,,,,,,,,,,,,,,,,"mini metro gamemode: existing end of straights now become metro stations, with straights being the lines, and must serve passengers over n turns (edited)"
,,,,,,,,,,,,,,,,,,,NEW
,,,,,,,,,,,,,,,,,,,yinan — Today at 10:20 PM
,,,,,,,,,,,,,,,,,,,boss: a boss appears you must defeat either with specific hands or just points dmg and it slowly breathes fire on your actual score
,,,,,,,,,,,,,,,,,,,[10:21 PM]
,,,,,,,,,,,,,,,,,,,"vampire survivors: vampires begin eating cards at the edge, eating in n turns and you have to play all of them to remove"
,,,,,,,,,,,,,,,,,,,[10:22 PM]
,,,,,,,,,,,,,,,,,,,"amogus: a card is fake, when played lose score, but the card will not follow rules on certain turns, find card to remove (edited)"
,,,,,,,,,,,,,,,,,,,[10:23 PM]
,,,,,,,,,,,,,,,,,,,5d card with multiverse time travel: send a card into the past and play that board until to the present where the timelines clash and only differences remain
