round,param,value,seed_mean,seed_min,coverage,hollow,keff,biome,spread,violations
1,layer_count,4,0.1486,0.1110,0.1270,0.0799,2.5217,0.1969,0.3169,2.7500
1,layer_count,6,0.1005,0.0617,0.1290,0.0798,2.5197,0.2463,0.3169,3.7500
1,layer_count,14,0.3514,0.0613,0.3381,0.0943,2.9021,0.4480,0.3758,3.5000
1,layer_count,16,0.3913,0.0624,0.3690,0.0875,2.7420,0.5397,0.3887,3.2500
1,layer_count,22,0.5651,0.0602,0.4894,0.1146,3.4609,0.6211,0.4441,3.0000
1,layer_count,28,0.6253,0.0631,0.5413,0.1081,3.2815,0.7290,0.4540,2.7500
1,layer_count,30,0.5955,0.0599,0.5358,0.0995,3.0023,0.7197,0.4407,3.0000
1,layer_count,40,0.5061,0.0637,0.4487,0.0938,2.8220,0.6882,0.4543,3.0000
1,min_path_dist,5.0,0.5770,0.0631,0.5003,0.1078,3.2895,0.7274,0.4257,2.7500
1,min_path_dist,10.0,0.5865,0.0631,0.5080,0.1094,3.3306,0.7274,0.4267,2.7500
1,min_path_dist,30.0,0.4427,0.0631,0.4107,0.0845,2.6202,0.6489,0.4401,3.2500
1,min_path_dist,35.0,0.5009,0.0631,0.4453,0.0916,2.8195,0.6319,0.4559,3.0000
1,min_path_dist,45.0,0.5201,0.0631,0.4685,0.0878,2.7330,0.6597,0.4554,3.0000
1,min_path_dist,50.0,0.5212,0.0631,0.4695,0.0877,2.7340,0.6597,0.4557,3.0000
1,min_path_dist,55.0,0.5054,0.0631,0.4838,0.0791,2.4503,0.6505,0.4697,3.5000
1,min_path_dist,60.0,0.3169,0.0631,0.3101,0.0812,2.5558,0.5687,0.4021,3.5000
1,max_path_search_dist,30.0,0.4984,0.0631,0.4496,0.0826,2.6144,0.7375,0.4148,2.7500
1,max_path_search_dist,80.0,0.5870,0.0631,0.5085,0.1093,3.3262,0.7274,0.4267,2.7500
1,max_path_search_dist,100.0,0.5865,0.0631,0.5080,0.1094,3.3306,0.7274,0.4267,2.7500
1,max_path_search_dist,130.0,0.6462,0.0631,0.5504,0.1177,3.7453,0.7459,0.4624,2.7500
1,max_path_search_dist,140.0,0.6462,0.0631,0.5504,0.1177,3.7453,0.7459,0.4624,2.7500
1,max_path_search_dist,180.0,0.6462,0.0631,0.5504,0.1177,3.7453,0.7459,0.4624,2.7500
1,max_path_search_dist,190.0,0.6462,0.0631,0.5504,0.1177,3.7453,0.7459,0.4624,2.7500
1,max_path_search_dist,220.0,0.6462,0.0631,0.5504,0.1177,3.7453,0.7459,0.4624,2.7500
1,min_outgoing,1,0.6462,0.0631,0.5504,0.1177,3.7453,0.7459,0.4624,2.7500
1,min_outgoing,2,0.6462,0.0631,0.5504,0.1177,3.7453,0.7459,0.4624,2.7500
1,min_outgoing,3,0.6462,0.0631,0.5504,0.1177,3.7453,0.7459,0.4624,2.7500
1,min_outgoing,4,0.6794,0.0631,0.5932,0.0989,3.0856,0.7676,0.4994,2.7500
1,max_outgoing,2,0.6794,0.0631,0.5932,0.0989,3.0856,0.7676,0.4994,2.7500
1,max_outgoing,3,0.6794,0.0631,0.5932,0.0989,3.0856,0.7676,0.4994,2.7500
1,max_outgoing,4,0.6794,0.0631,0.5932,0.0989,3.0856,0.7676,0.4994,2.7500
1,max_outgoing,5,0.7142,0.0631,0.6371,0.0880,2.9473,0.7776,0.5067,2.7500
1,max_outgoing,6,0.7134,0.0631,0.6398,0.0844,2.8410,0.7776,0.5067,2.7500
1,min_outgoing_after_trim,1,0.7142,0.0631,0.6371,0.0880,2.9473,0.7776,0.5067,2.7500
1,min_outgoing_after_trim,2,0.6635,0.0131,0.6372,0.0871,2.9133,0.7776,0.5067,3.7500
1,min_outgoing_after_trim,3,0.6627,0.0131,0.6367,0.0869,2.9039,0.7776,0.5067,3.7500
1,edge_trim_chance,0.0,0.7141,0.0631,0.6378,0.0871,2.9178,0.7776,0.5067,2.7500
1,edge_trim_chance,0.2,0.7133,0.0631,0.6367,0.0875,2.9348,0.7776,0.5067,2.7500
1,edge_trim_chance,0.3,0.7116,0.0631,0.6353,0.0871,2.9103,0.7776,0.5067,2.7500
1,edge_trim_chance,0.5,0.7134,0.0631,0.6355,0.0888,2.9822,0.7776,0.5067,2.7500
1,edge_trim_chance,0.6,0.7130,0.0631,0.6353,0.0884,2.9628,0.7776,0.5067,2.7500
1,edge_trim_chance,0.7,0.7138,0.0631,0.6357,0.0889,2.9797,0.7776,0.5067,2.7500
1,edge_trim_chance,0.8,0.7130,0.0631,0.6346,0.0892,3.0083,0.7776,0.5067,2.7500
1,edge_trim_chance,0.9,0.6994,0.0631,0.6329,0.0898,3.0270,0.7776,0.5067,3.0000
1,min_nodes_between_cities,0,0.6965,0.0631,0.6254,0.0833,2.6669,0.7776,0.5014,2.7500
1,min_nodes_between_cities,1,0.7141,0.0631,0.6378,0.0871,2.9178,0.7776,0.5067,2.7500
1,min_nodes_between_cities,2,0.7141,0.0631,0.6378,0.0871,2.9178,0.7776,0.5067,2.7500
1,min_nodes_between_cities,3,0.7015,0.0631,0.6334,0.0919,3.0531,0.7776,0.5047,3.0000
1,min_nodes_between_cities,4,0.7015,0.0631,0.6334,0.0919,3.0531,0.7776,0.5047,3.0000
1,min_nodes_between_cities,5,0.6824,0.0631,0.6229,0.0847,2.7092,0.7776,0.4994,3.0000
1,min_nodes_between_cities,6,0.6947,0.0631,0.6154,0.0905,2.8585,0.7776,0.5053,2.7500
1,max_nodes_between_cities,1,0.9372,0.8346,0.7978,0.0958,3.1551,0.8332,0.5743,2.0000
1,max_nodes_between_cities,2,0.6965,0.0631,0.6254,0.0833,2.6669,0.7776,0.5014,2.7500
1,max_nodes_between_cities,4,0.7141,0.0631,0.6378,0.0871,2.9178,0.7776,0.5067,2.7500
1,max_nodes_between_cities,5,0.7141,0.0631,0.6378,0.0871,2.9178,0.7776,0.5067,2.7500
1,max_nodes_between_cities,7,0.7015,0.0631,0.6334,0.0919,3.0531,0.7776,0.5047,3.0000
1,max_nodes_between_cities,8,0.6824,0.0631,0.6229,0.0847,2.7092,0.7776,0.4994,3.0000
1,max_nodes_between_cities,9,0.6824,0.0631,0.6229,0.0847,2.7092,0.7776,0.4994,3.0000
1,max_nodes_between_cities,10,0.6947,0.0631,0.6154,0.0905,2.8585,0.7776,0.5053,2.7500
1,min_cities_visited,2,0.9372,0.8346,0.7978,0.0958,3.1551,0.8332,0.5743,2.0000
