round,param,value,seed_mean,seed_min,coverage,hollow,keff,biome,spread,violations
1,outgoing,1,0.3434,0.0648,0.2756,0.1145,3.2202,0.5233,0.4236,3.0500
1,outgoing,3,0.8432,0.4991,0.7564,0.1024,3.1749,0.8399,0.5376,3.0000
1,outgoing,4,0.8672,0.5112,0.7948,0.0848,2.5883,0.8590,0.5502,3.0000
1,outgoing,5,0.8786,0.5148,0.8108,0.0787,2.3813,0.8667,0.5562,3.0000
1,outgoing,6,0.8812,0.5148,0.8175,0.0725,2.1889,0.8687,0.5648,3.0000
1,min_outgoing_after_trim,1,0.8812,0.5148,0.8175,0.0725,2.1889,0.8687,0.5648,3.0000
1,min_outgoing_after_trim,2,0.8315,0.4648,0.8176,0.0727,2.1938,0.8687,0.5648,4.0000
1,min_outgoing_after_trim,3,0.8313,0.4648,0.8175,0.0726,2.1915,0.8687,0.5648,4.0000
1,edge_trim_chance,0.0,0.8813,0.5148,0.8178,0.0723,2.1826,0.8687,0.5648,3.0000
1,edge_trim_chance,0.2,0.8813,0.5148,0.8177,0.0724,2.1845,0.8687,0.5648,3.0000
1,edge_trim_chance,0.3,0.8812,0.5148,0.8174,0.0726,2.1925,0.8687,0.5648,3.0000
1,edge_trim_chance,0.8,0.8814,0.5148,0.8163,0.0738,2.2364,0.8687,0.5648,3.0000
1,edge_trim_chance,0.9,0.8811,0.5148,0.8164,0.0735,2.2220,0.8687,0.5648,3.0000
